Acct id,Acct type,Activate chat bot,Converted to paid customer,Date time,Number of clicks
SA13606,SMB,Y,0,8/16/20,599
SA13606,SMB,Y,0,8/23/20,547
SA13606,SMB,Y,0,8/30/20,1111
SA13606,SMB,Y,0,9/6/20,815
SA13606,SMB,Y,0,9/13/20,544
SA13606,SMB,Y,0,9/20/20,384
SA13606,SMB,Y,0,9/27/20,549
SA13606,SMB,Y,0,10/4/20,489
SA13606,SMB,Y,0,10/11/20,384
SA13606,SMB,Y,0,10/18/20,391
SA13606,SMB,Y,0,10/25/20,433
SA13606,SMB,Y,0,11/1/20,418
SA48527,SMB,N,0,2/23/20,635
SA48527,SMB,N,0,3/1/20,639
SA48527,SMB,N,0,3/8/20,504
SA48527,SMB,N,0,3/15/20,428
SA48527,SMB,N,0,3/22/20,509
SA48527,SMB,N,0,3/29/20,790
SA48527,SMB,N,0,4/5/20,580
SA48527,SMB,N,0,4/12/20,294
SA48527,SMB,N,0,4/19/20,304
SA48527,SMB,N,0,4/26/20,472
SA48527,SMB,N,0,5/3/20,241
SA48527,SMB,N,0,5/10/20,205
SA18384,SMB,N,0,11/15/20,285
SA18384,SMB,N,0,11/22/20,295
SA18384,SMB,N,0,11/29/20,333
SA18384,SMB,N,0,12/6/20,527
SA18384,SMB,N,0,12/13/20,319
SA18384,SMB,N,0,12/20/20,284
SA18384,SMB,N,0,12/27/20,285
SA18384,SMB,N,0,1/3/21,287
SA18384,SMB,N,0,1/10/21,209
SA18384,SMB,N,0,1/17/21,343
SA36770,ENT,N,0,11/22/20,78
SA36770,ENT,N,0,11/29/20,46
SA36770,ENT,N,0,12/6/20,118
SA36770,ENT,N,0,12/13/20,111
SA49805,SMB,N,0,1/10/21,158
SA44702,ENT,Y,0,4/19/20,423
SA44702,ENT,Y,0,4/26/20,450
SA44702,ENT,Y,0,5/3/20,137
SA44702,ENT,Y,0,5/10/20,405
SA44702,ENT,Y,0,5/17/20,590
SA44702,ENT,Y,0,5/24/20,425
SA44702,ENT,Y,0,5/31/20,338
SA44702,ENT,Y,0,6/7/20,281
SA44702,ENT,Y,0,6/14/20,181
SA44702,ENT,Y,0,6/21/20,225
SA44702,ENT,Y,0,6/28/20,383
SA44702,ENT,Y,0,7/5/20,361
SA34466,ENT,N,0,11/15/20,2
SA34466,ENT,N,0,11/22/20,3
SA34466,ENT,N,0,11/29/20,8
SA34466,ENT,N,0,12/6/20,2
SA34466,ENT,N,0,12/13/20,3
SA34466,ENT,N,0,12/20/20,5
SA34466,ENT,N,0,12/27/20,5
SA34466,ENT,N,0,1/3/21,1
SA34466,ENT,N,0,1/10/21,3
SA34466,ENT,N,0,1/17/21,5
SA34466,ENT,N,0,1/24/21,2
SA40886,SMB,N,0,2/16/20,323
SA40886,SMB,N,0,2/23/20,618
SA40886,SMB,N,0,3/1/20,407
SA40886,SMB,N,0,3/8/20,676
SA40886,SMB,N,0,3/15/20,629
SA28664,ENT,N,1,9/27/20,627
SA28664,ENT,N,1,10/4/20,1465
SA28664,ENT,N,1,10/11/20,1672
SA28664,ENT,N,1,10/18/20,452
SA28664,ENT,N,1,10/25/20,1447
SA28664,ENT,N,1,11/1/20,389
SA28664,ENT,N,1,11/8/20,1339
SA28664,ENT,N,1,11/15/20,1501
SA28664,ENT,N,1,11/22/20,1094
SA28664,ENT,N,1,11/29/20,997
SA28664,ENT,N,1,12/6/20,663
SA28664,ENT,N,1,12/13/20,607
SA48548,ENT,N,0,8/2/20,3667
SA48548,ENT,N,0,8/9/20,4411
SA48548,ENT,N,0,8/16/20,4281
SA48548,ENT,N,0,8/23/20,1985
SA48548,ENT,N,0,8/30/20,2434
SA48548,ENT,N,0,9/6/20,4104
SA48548,ENT,N,0,9/13/20,4430
SA48548,ENT,N,0,9/20/20,3118
SA48548,ENT,N,0,9/27/20,4302
SA48548,ENT,N,0,10/4/20,2303
SA48548,ENT,N,0,10/11/20,3280
SA48548,ENT,N,0,10/18/20,1527
SA17264,SMB,N,0,12/29/19,696
SA17264,SMB,N,0,1/5/20,1614
SA17264,SMB,N,0,1/12/20,813
SA17264,SMB,N,0,1/19/20,1232
SA17264,SMB,N,0,1/26/20,1687
SA17264,SMB,N,0,2/2/20,1074
SA17264,SMB,N,0,2/9/20,1263
SA17264,SMB,N,0,2/16/20,524
SA17264,SMB,N,0,2/23/20,390
SA17264,SMB,N,0,3/1/20,824
SA17264,SMB,N,0,3/8/20,521
SA26325,SMB,N,1,5/10/20,167
SA26325,SMB,N,1,5/17/20,175
SA26325,SMB,N,1,5/24/20,259
SA26325,SMB,N,1,5/31/20,174
SA26325,SMB,N,1,6/7/20,182
SA26325,SMB,N,1,6/14/20,258
SA26325,SMB,N,1,6/21/20,93
SA26325,SMB,N,1,6/28/20,202
SA26325,SMB,N,1,7/5/20,136
SA26325,SMB,N,1,7/12/20,100
SA26325,SMB,N,1,7/19/20,193
SA26325,SMB,N,1,7/26/20,224
SA5165,SMB,Y,0,5/19/19,3506
SA5165,SMB,Y,0,5/26/19,1466
SA5165,SMB,Y,0,6/2/19,733
SA5165,SMB,Y,0,6/9/19,4359
SA5165,SMB,Y,0,6/16/19,2115
SA5165,SMB,Y,0,6/23/19,1427
SA5165,SMB,Y,0,6/30/19,3217
SA5165,SMB,Y,0,7/7/19,1076
SA5165,SMB,Y,0,7/14/19,1607
SA5165,SMB,Y,0,7/21/19,1456
SA5165,SMB,Y,0,7/28/19,3506
SA46034,ENT,Y,1,9/15/19,494
SA46034,ENT,Y,1,9/22/19,417
SA46034,ENT,Y,1,9/29/19,390
SA46034,ENT,Y,1,10/6/19,435
SA46034,ENT,Y,1,10/13/19,596
SA46034,ENT,Y,1,10/20/19,256
SA46034,ENT,Y,1,10/27/19,297
SA46034,ENT,Y,1,11/3/19,285
SA46034,ENT,Y,1,11/10/19,246
SA46034,ENT,Y,1,11/17/19,614
SA46034,ENT,Y,1,11/24/19,506
SA46034,ENT,Y,1,12/1/19,451
SA37462,SMB,Y,0,10/13/19,951
SA37462,SMB,Y,0,10/20/19,885
SA37462,SMB,Y,0,10/27/19,441
SA37462,SMB,Y,0,11/3/19,788
SA37462,SMB,Y,0,11/10/19,574
SA37462,SMB,Y,0,11/17/19,559
SA37462,SMB,Y,0,11/24/19,699
SA37462,SMB,Y,0,12/1/19,179
SA37462,SMB,Y,0,12/8/19,783
SA37462,SMB,Y,0,12/15/19,751
SA37462,SMB,Y,0,12/22/19,1120
SA37462,SMB,Y,0,12/29/19,1083
SA30278,SMB,Y,0,5/24/20,278
SA30278,SMB,Y,0,5/31/20,221
SA30278,SMB,Y,0,6/7/20,971
SA30278,SMB,Y,0,6/14/20,853
SA30278,SMB,Y,0,6/21/20,492
SA30278,SMB,Y,0,6/28/20,936
SA30278,SMB,Y,0,7/5/20,474
SA30278,SMB,Y,0,7/12/20,742
SA30278,SMB,Y,0,7/19/20,548
SA30278,SMB,Y,0,7/26/20,395
SA13166,ENT,N,0,12/20/20,12
SA13166,ENT,N,0,12/27/20,8
SA13166,ENT,N,0,1/3/21,12
SA13166,ENT,N,0,1/10/21,17
SA13166,ENT,N,0,1/17/21,27
SA13166,ENT,N,0,1/24/21,14
SA13166,ENT,N,0,1/31/21,12
SA13166,ENT,N,0,2/7/21,12
SA13166,ENT,N,0,2/14/21,21
SA13166,ENT,N,0,2/21/21,18
SA13166,ENT,N,0,2/28/21,35
SA28767,ENT,Y,0,11/15/20,1059
SA28767,ENT,Y,0,11/22/20,3501
SA28767,ENT,Y,0,11/29/20,3910
SA28767,ENT,Y,0,12/6/20,1529
SA28767,ENT,Y,0,12/13/20,1703
SA28767,ENT,Y,0,12/20/20,3416
SA28767,ENT,Y,0,12/27/20,2073
SA28767,ENT,Y,0,1/3/21,2782
SA28767,ENT,Y,0,1/10/21,1405
SA28767,ENT,Y,0,1/17/21,1798
SA28767,ENT,Y,0,1/24/21,859
SA28767,ENT,Y,0,1/31/21,2801
SA31219,SMB,Y,0,8/9/20,1731
SA31219,SMB,Y,0,8/16/20,1692
SA31219,SMB,Y,0,8/23/20,1364
